Year,Date_of_capture,Pass,Latitude,Longitude,Depth_m,Region,SEX,Length,Length_manual,Length_manual_2,Wt_kg,Age,Certainty,Biological_maturity,Functional_maturity,Prop_atresia,Oocyte_1,Oocyte_2,Oocyte_3,Oocyte_4_1,Oocyte_4_2,Oocyte_5,Oocyte_6,Oocyte_7,Oocyte_8,Oocyte_9,Oocyte_10,POFs,Spawning,Spent,SLIDE_IDENTIFIER,highest_o_stage,Max_mat_stage
2014,6/7/2014,1,45.23380479,-124.4676537,407.5,1,f,38,37,38,1,,1,1,1,0.25,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,6792,11,7
2016,6/18/2016 15:18,1,40.87102791,-124.5390167,523.4,1,F,37.5,37,37,0.88,,1,1,0,0.75,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,0,0,8106023,4.2,3
2012,8/19/2012,2,45.33048125,-124.72884,522.8,1,f,37,37,37,0.88,76,1,1,1,0.05,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,2877,6,4
2016,5/22/2016 12:36,1,45.60301612,-124.5958263,374.7,1,F,36.5,37,37,0.74,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,20007015,6,4
2012,8/19/2012,2,45.33048125,-124.72884,522.8,1,f,36,36,36,0.84,70,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2912,5,4
2013,5/25/2013,1,45.38069512,-124.6728558,434.1,1,f,36,36,36,0.92,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,1,0,3457,10,6
2014,6/6/2014,1,45.19556213,-124.5513136,412.4,1,f,36,36,36,0.74,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8362,11,7
2014,9/8/2014,2,45.20081512,-124.4957668,401.7,1,f,36,36,36,0.72,,0,1,0,0.15,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,8780,4.1,3
2016,7/14/2016 10:56,1,33.14705098,-120.3486287,530.4,2,F,36,36,36,0.82,,1,1,1,0.05,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,20181059,6,4
2016,7/14/2016 10:56,1,33.14705098,-120.3486287,530.4,2,F,36,36,36,0.7,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,20181061,5,4
2016,7/1/2016 6:25,1,36.07681358,-121.6938849,573.9,2,F,36,36,36,0.72,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,20131109,6,4
2016,7/14/2016 10:56,1,33.14705098,-120.3486287,530.4,2,F,35.5,35.5,35.5,0.76,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,20181060,6,4
2012,10/1/2012,2,35.56244346,-121.4002338,544.6,2,f,35,35,35,0.58,40,1,1,1,0.01,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,2822,7,5
2012,9/14/2012,2,41.96435366,-124.61787,453.2,1,f,35,35,35,0.7,65,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,2830,11,7
2014,7/6/2014,1,35.12671646,-121.5266986,557.9,2,f,35,35,35,0.76,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,6855,6,4
