Date_of_capture,SLIDE_IDENTIFIER,Latitude,Longitude,Depth_m,Region,Length,Length_manual,Length_manual_2,Wt_kg,Age,Certainty,Biological_maturity,Functional_maturity,Age_bin,n_age,propmat_age,propfun_age
7/3/2012,2734,34.71975242,-120.9841594,419.2,2,16,16,16,0.06,3,1,0,0,3,1,0,0
10/3/2012,2410,35.17835115,-121.0538886,424.8,2,15,15,15,0.04,4,1,0,0,4,3,0,0
6/12/2012,2742,43.0987782,-124.8871322,377.3,1,18,18,18,0.1,4,1,0,0,5,2,0,0
6/12/2012,2752,43.0987782,-124.8871322,377.3,1,16,16,16,0.06,4,1,0,0,6,7,0,0
10/3/2012,2438,35.17835115,-121.0538886,424.8,2,18,18,18,0.08,5,1,0,0,7,6,0,0
9/28/2012,2815,37.03460567,-122.6926592,474.1,2,19,19,19,0.1,5,1,0,0,8,7,0.285714286,0.142857143
7/3/2012,2774,34.71975242,-120.9841594,419.2,2,18,18,18,0.08,6,1,0,0,9,2,0.5,0.5
7/3/2012,2729,34.71975242,-120.9841594,419.2,2,16,16,16,0.06,6,1,0,0,10,5,0.2,0
7/3/2012,2766,34.71975242,-120.9841594,419.2,2,16,16,16,0.06,6,1,0,0,11,4,0,0
7/3/2012,2736,34.71975242,-120.9841594,419.2,2,18,18,18,0.08,6,1,0,0,12,3,0,0
9/28/2012,2816,37.03460567,-122.6926592,474.1,2,19,19,19,0.1,6,1,0,0,13,7,0.428571429,0.285714286
9/6/2012,2980,43.58712672,-124.6801944,434.9,1,21,21,21,0.14,6,1,0,0,14,6,0.333333333,0.333333333
6/4/2012,2528,45.60369065,-124.6774138,412.1,1,19,19,19,0.1,6,1,0,0,15,2,1,1
7/3/2012,2732,34.71975242,-120.9841594,419.2,2,17,17,17,0.06,7,1,0,0,16,2,0.5,0.5
10/3/2012,2426,35.17835115,-121.0538886,424.8,2,19,19,19,0.08,7,1,0,0,17,5,0.8,0.6
10/3/2012,2405,35.17835115,-121.0538886,424.8,2,20,20,20,0.12,7,1,0,0,18,1,1,1
7/1/2012,4316,35.93396677,-121.5740541,427.8,2,22,22,22,0.18,7,1,0,0,19,4,1,0.75
8/19/2012,2857,45.40675083,-124.5754329,390.1,1,20,20,20,0.12,7,1,0,0,20,1,1,1
8/19/2012,2863,45.40675083,-124.5754329,390.1,1,20,20,20,0.12,7,1,0,0,21,2,0.5,0.5
7/3/2012,2745,34.71975242,-120.9841594,419.2,2,16,16,16,0.06,8,1,0,0,22,3,1,1
7/5/2012,2986,34.8622409,-121.2966302,437.4,2,19,19,19,0.1,8,1,0,0,23,2,0.5,0.5
9/6/2012,2841,43.82364587,-124.7108209,400.4,1,21,21,21,0.14,8,1,0,0,24,2,1,1
9/2/2012,2992,44.50917451,-124.9121836,451.5,1,20,20,20,0.12,8,1,0,0,25,2,1,1
8/19/2012,2858,45.4042875,-124.5311875,410.1,1,22,22,22,0.14,8,1,0,0,26,2,1,1
7/1/2012,2761,35.63737441,-121.418349,433.8,2,22,22,22,0.2,8,1,1,1,29,1,1,1
5/28/2012,2501,46.08653052,-124.8224701,452,1,24,24,24,0.22,8,1,1,0,30,2,0.5,0.5
8/19/2012,2862,45.40675083,-124.5754329,390.1,1,23,23,23,0.2,9,1,0,0,31,1,1,1
8/19/2012,2898,45.40675083,-124.5754329,390.1,1,24,24,24,0.22,9,1,1,1,32,2,1,1
7/5/2012,2785,34.7284353,-121.1789127,544.7,2,21,21,21,0.12,10,1,0,0,33,1,1,1
